date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company,stock_price,next_day_stock_price,trend
2022-01-08,0.4236435693871069,0.5994,0.6124,22,3,7,15,113,2,3,368.6099853515625,360.78082275390625,0
2022-01-09,0.496686547670875,0.6249,0.5574,11,3,22,51,128,65,3,360.78082275390625,352.7066650390625,0
2022-01-10,0.6337709255898367,0.6369,0.4767,23,8,6,6,79,1,3,352.706665,354.79998779296875,1
2022-01-11,0.4720090453406242,0.5994,0.4767,27,5,7,14,126,1,3,354.799988,368.739990234375,1
2022-01-12,0.1595896032831737,0.4939,0.3818,18,7,5,4,48,1,3,368.73999,343.85333251953125,0
2022-01-13,0.3584596359070936,0.4939,0.3612,23,6,5,4,47,1,3,343.853333,349.8699951171875,1
2022-01-14,0.3513062738199941,0.4939,0.4939,42,10,9,6,63,1,3,349.869995,353.9939880371094,1
2022-01-15,-0.0218847222222222,0.6369,0.5859,18,4,11,23,190,4,3,353.9939880371094,354.3158264160156,1
2022-01-16,-0.5790365506921064,0.4019,0.3612,10,7,20,9,149,2,3,354.3158264160156,354.1544494628906,0
2022-01-17,0.45491808,0.3818,0.128,10,3,4,5,37,1,3,354.1544494628906,343.5033264160156,0
2022-01-18,0.5302650519031142,0.4019,0.128,18,4,5,5,40,1,3,343.503326,331.8833312988281,0
2022-01-19,0.0260573248407643,0.4019,0.5719,14,7,6,7,69,1,3,331.883331,332.0899963378906,1
2022-01-20,0.6349442232799655,0.4588,0.296,17,3,7,11,106,2,3,332.089996,314.6333312988281,0
2022-01-21,0.4503839850391023,0.4019,0.4847,30,5,10,6,82,2,3,314.633331,330.5274963378906,1
2022-01-22,-0.2570643835616438,0.4019,0.5267,16,9,9,6,63,1,3,330.5274963378906,330.5274963378906,0
2022-01-23,0.220185014619883,0.3612,0.5267,10,3,14,12,183,3,3,330.5274963378906,310.0,0
2022-01-24,0.2287025294525294,0.5719,0.5574,27,9,5,8,69,1,3,310.0,306.1333312988281,0
2022-01-25,-0.0362174296926095,0.5719,0.5719,22,7,8,10,102,1,3,306.133331,312.4700012207031,1
2022-01-26,0.1318216043464365,0.4404,0.4349,29,7,4,6,62,1,3,312.470001,276.3666687011719,0
2022-01-27,0.1534752442707407,0.5559,0.5719,52,11,9,15,151,2,3,276.366669,282.1166687011719,1
2022-01-28,0.2785882171499074,0.4404,0.4939,58,17,13,9,81,2,3,282.116669,297.4173278808594,1
2022-01-29,0.3813513810198299,0.5106,0.5719,21,5,16,10,101,2,3,297.4173278808594,294.27166748046875,0
2022-01-30,0.1877446125630445,0.6486,0.4792,16,7,8,8,91,1,3,294.27166748046875,312.239990234375,1
2022-01-31,0.3848617163009404,0.4404,0.4939,25,4,11,6,76,2,3,312.23999,310.4166564941406,0
2022-02-01,0.6176522253129347,0.3612,0.6908,19,3,5,15,103,2,3,310.416656,301.88665771484375,0
2022-02-02,-0.018609767687434,0.3612,0.34,16,4,5,11,79,4,3,301.886658,297.0466613769531,0
2022-02-03,0.2180777245508981,0.296,0.7579,11,4,3,4,38,1,3,297.046661,307.7733459472656,1
2022-02-04,0.3335222042139383,0.296,0.3597,13,4,4,3,35,1,3,307.773346,305.8726501464844,0
2022-02-05,0.3081998203592814,0.6486,0.4939,10,2,10,16,112,3,3,305.8726501464844,304.28082275390625,0
2022-02-06,0.5825407272727273,0.4404,0.0,15,0,4,4,19,1,3,304.28082275390625,302.4466552734375,0
2022-02-07,0.2645248843291088,0.4939,0.2782,16,5,18,21,217,2,3,302.446655,307.3333435058594,1
2022-02-08,0.5467484009840098,0.5106,0.4019,17,5,7,15,61,2,3,307.333344,310.6666564941406,1
2022-02-09,0.393092505854801,0.6705,0.5994,18,2,2,2,18,1,3,310.666656,301.51666259765625,0
2022-02-10,0.2556825021132713,0.296,0.1531,15,3,5,5,60,1,3,301.516663,286.6666564941406,0
2022-02-11,0.2911031982942431,0.743,0.5106,11,4,5,3,53,1,3,286.666656,301.7259826660156,1
2022-02-12,0.5467717734447539,0.4404,0.6808,14,4,11,7,60,1,3,301.7259826660156,301.54583740234375,0
2022-02-13,0.2659350931677018,0.3818,0.4019,9,4,4,16,69,2,3,301.54583740234375,291.9200134277344,0
2022-02-14,0.1907148953301127,0.3612,0.8578,10,6,8,8,66,1,3,291.920013,307.4766540527344,1
2022-02-15,0.7030927663290255,0.6124,0.3182,96,3,24,42,287,8,3,307.476654,307.7966613769531,1
2022-02-16,0.6087394038383014,0.7096,0.5106,37,9,10,20,160,3,3,307.796661,292.1166687011719,0
2022-02-17,0.3390218875078998,0.4588,0.5423,26,10,13,24,125,5,3,292.116669,285.6600036621094,0
2022-02-18,0.2652991686460808,0.7003,0.6124,23,5,9,11,85,2,3,285.660004,296.9939880371094,1
2022-02-19,0.0285045186640471,0.7096,0.7351,14,1,6,15,60,2,3,296.9939880371094,298.26251220703125,1
2022-02-20,0.6319042847025497,0.7506,0.0,15,0,16,22,167,4,3,298.26251220703125,295.19110107421875,0
2022-02-21,-0.3139145945945946,0.7003,0.296,4,3,9,7,103,1,3,295.19110107421875,273.84332275390625,0
2022-02-22,0.4194976927747421,0.6249,0.4939,20,6,7,7,61,1,3,273.843323,254.67999267578125,0
2022-02-23,0.5550926189308487,0.4767,0.4939,37,10,8,6,76,1,3,254.679993,266.92333984375,1
2022-02-24,0.0174053721582061,0.3182,0.4215,32,22,9,16,96,4,3,266.92334,269.9566650390625,1
2022-02-25,-0.0233223016683691,0.296,0.296,18,17,12,18,74,5,3,269.956665,266.350830078125,0
2022-02-26,0.2368820143884892,0.296,0.0,8,0,3,5,14,1,3,266.350830078125,266.350830078125,0
2022-02-27,0.2973013052208835,0.4767,0.0258,17,1,3,8,53,1,3,266.350830078125,290.1433410644531,1
2022-02-28,0.4963995754408883,0.5358,0.4404,28,2,4,11,103,2,3,290.143341,288.1233215332031,0
2022-03-01,-0.0082959067652075,0.296,0.4201,10,6,9,13,104,2,3,288.123322,293.2966613769531,1
2022-03-02,0.6355029729833301,0.5267,0.4404,26,5,226,933,7053,92,3,293.296661,279.7633361816406,0
2022-03-03,0.3290829124579124,0.4019,0.6369,19,5,6,11,88,1,3,279.763336,279.42999267578125,0
2022-03-04,0.4325015335801163,0.4344,0.5106,18,6,11,13,127,2,3,279.429993,286.1513366699219,1
2022-03-05,0.2319447916666666,0.5267,0.7425,5,2,2,1,12,1,3,286.1513366699219,285.1533203125,0
2022-03-06,0.170650826446281,0.34,0.5423,13,2,11,9,129,1,3,285.1533203125,268.1933288574219,0
2022-03-07,-0.0156674757281553,0.5994,0.471,17,5,10,7,95,1,3,268.193329,274.79998779296875,1
2022-03-08,-0.034154679144385,0.4404,0.4404,13,9,3,4,30,1,3,274.799988,286.3233337402344,1
2022-03-09,0.4657960011507479,0.5859,0.2732,27,4,8,10,100,2,3,286.323334,279.4333190917969,0
2022-03-10,-0.0199261180679785,0.4767,0.3818,9,9,4,2,28,1,3,279.433319,265.1166687011719,0
2022-03-11,0.1855760613207547,0.4019,0.296,14,5,3,6,43,1,3,265.116669,274.7733154296875,1
2022-03-12,0.5073451730418943,0.765,0.4895,7,1,6,7,61,1,3,274.7733154296875,276.4183349609375,1
2022-03-13,0.5339408233276158,0.3612,0.1585,12,2,9,21,39,1,3,276.4183349609375,255.4566650390625,0
2022-03-14,0.2552850393700787,0.4019,0.5999,14,4,3,3,27,1,3,255.456665,267.2966613769531,1
2022-03-15,0.0919045133991537,0.4588,0.3818,13,4,4,5,36,1,3,267.296661,280.07666015625,1
2022-03-16,0.3870891655140617,0.4019,0.5574,14,5,6,11,109,1,3,280.07666,290.5333251953125,1
2022-03-17,0.3592256457564575,0.4019,0.0,12,0,4,4,39,0,3,290.533325,301.7966613769531,1
2022-03-18,0.2456217046580773,0.6486,0.3612,15,2,20,18,152,2,3,301.796661,279.031982421875,0
2022-03-19,0.714376303630363,0.5994,0.5574,12,2,8,31,95,2,3,279.031982421875,284.9258117675781,1
2022-03-20,0.5133849056603773,0.5719,0.4767,7,2,5,8,111,2,3,284.9258117675781,307.0533447265625,1
2022-03-21,0.3453913793103448,0.6344,0.0258,11,1,1,2,16,1,3,307.053345,331.32666015625,1
2022-03-22,0.6099228399351402,0.5859,0.4215,36,2,7,11,99,2,3,331.32666,333.03668212890625,1
2022-03-23,0.5636538210900475,0.5423,0.4215,31,7,6,8,77,2,3,333.036682,337.97332763671875,1
2022-03-24,0.5025314681724844,0.5267,0.1027,26,5,12,124,296,6,3,337.973328,336.8800048828125,0
2022-03-25,0.297370035335689,0.296,0.4404,18,3,34,189,1946,12,3,336.880005,329.2539978027344,0
2022-03-26,0.3879814357567444,0.4404,0.4588,23,8,4,6,71,1,3,329.2539978027344,334.8041687011719,1
2022-03-27,0.4437776807980051,0.3544,0.9043,10,2,2,2,54,1,3,334.8041687011719,363.9466552734375,1
2022-03-28,0.3334311219929991,0.5267,0.5859,115,6,19,47,401,11,3,363.946655,366.5233459472656,1
2022-03-29,0.2770473590292648,0.6486,0.4939,36,7,7,7,61,1,3,366.523346,364.663330078125,0
2022-03-30,0.2252195454545454,0.4404,0.4215,18,3,3,3,26,1,3,364.66333,359.20001220703125,0
2022-03-31,0.3109297035458244,0.3818,0.5267,21,7,20,17,157,7,3,359.200012,361.5299987792969,1
2022-04-01,0.2879702620198423,0.5994,0.4404,24,6,15,10,127,1,3,361.529999,363.17266845703125,1
2022-04-02,0.394523426838514,0.4939,0.6249,18,2,11,14,173,2,3,363.17266845703125,362.9791564941406,0
2022-04-03,0.15273682735426,0.4588,0.3612,17,6,14,17,138,2,3,362.9791564941406,381.8166809082031,1
2022-04-04,0.473576326468111,0.5574,0.296,77,8,14,24,137,9,3,381.816681,363.7533264160156,0
2022-04-05,0.3874530513400064,0.5434,0.5423,37,5,12,9,65,3,3,363.753326,348.586669921875,0
2022-04-06,0.3338626611418047,0.4588,0.4767,25,8,8,7,64,1,3,348.58667,352.4200134277344,1
2022-04-07,0.568131014406947,0.4019,0.3818,28,7,64,14,260,6,3,352.420013,341.8299865722656,0
2022-04-08,0.2312222237801457,0.5267,0.4404,36,9,10,18,138,2,3,341.829987,357.68133544921875,1
2022-04-09,0.5460432697547685,0.3182,0.4215,15,5,39,10,92,2,3,357.68133544921875,351.6474914550781,0
2022-04-10,0.4210404287138584,0.6124,0.4019,15,5,8,6,92,2,3,351.6474914550781,325.30999755859375,0
2022-04-11,0.2794216720257234,0.4767,0.5719,25,6,9,9,92,1,3,325.309998,328.98333740234375,1
2022-04-12,0.0379898826979472,0.296,0.4019,14,7,7,7,74,1,3,328.983337,340.7900085449219,1
2022-04-13,0.483477318718381,0.5267,0.4019,17,6,6,6,48,2,3,340.790009,328.3333435058594,0
2022-04-14,0.0908203512438211,0.5574,0.4576,95,19,17,28,203,5,3,328.333344,330.85418701171875,1
2022-04-15,0.2192739624961575,0.6486,0.5709,42,13,7,9,54,1,3,330.85418701171875,330.85418701171875,0
2022-04-16,0.3793465207877461,0.5267,0.296,21,6,6,7,74,1,3,330.85418701171875,332.7022399902344,1
2022-04-17,0.6035069925542247,0.6808,0.6486,16,8,11,10,115,1,3,332.7022399902344,334.7633361816406,1
2022-04-18,0.2670014216806295,0.5574,0.4767,16,4,24,20,165,4,3,334.763336,342.7166748046875,1
2022-04-19,0.2136660671462829,0.4404,0.34,17,7,4,4,30,1,3,342.716675,325.73333740234375,0
2022-04-20,0.5931389322454771,0.5106,0.2263,62,6,11,14,141,3,3,325.733337,336.260009765625,1
2022-04-21,0.4975365708431088,0.5719,0.2263,66,13,31,98,775,8,3,336.26001,335.01666259765625,0
2022-04-22,0.510243572621035,0.6395,0.3182,29,6,9,7,65,1,3,335.016663,334.89801025390625,0
2022-04-23,0.3929700303214069,0.5719,0.4115,35,9,15,14,169,2,3,334.89801025390625,334.9316711425781,1
2022-04-24,0.2566778066320415,0.7003,0.25,20,13,13,16,140,2,3,334.9316711425781,332.67333984375,0
2022-04-25,-0.0418296910901199,0.5574,0.4215,97,35,23,28,244,6,3,332.67334,292.1400146484375,0
2022-04-26,-0.2111490301144656,0.4767,0.4215,140,36,12,31,270,4,3,292.140015,293.836669921875,1
2022-04-27,0.4291314404114524,0.5267,0.3182,164,38,10,22,287,3,3,293.83667,292.5033264160156,0
2022-04-28,0.0817080796520943,0.5267,0.2732,61,21,9,6,51,1,3,292.503326,290.2533264160156,0
2022-04-29,0.4756862057991513,0.4767,0.5106,226,24,9,18,111,3,3,290.253326,300.2813415527344,1
2022-04-30,-0.2371672160804019,0.5267,0.3374,30,10,9,23,119,2,3,300.2813415527344,292.1833190917969,0
2022-05-01,0.1622973523421589,0.6249,0.6486,15,5,16,9,94,1,3,292.1833190917969,300.9800109863281,1
2022-05-02,0.5671219331771665,0.4019,0.296,35,8,17,18,169,2,3,300.980011,303.0833435058594,1
2022-05-03,0.0126642335766423,0.5106,0.34,21,6,3,4,34,1,3,303.083344,317.5400085449219,1
2022-05-04,0.2421449843804234,0.659,0.4939,15,2,16,19,131,2,3,317.540009,291.09332275390625,0
2022-05-05,0.3143893158236057,0.4767,0.296,31,6,13,12,144,2,3,291.093323,288.54998779296875,0
2022-05-06,-0.0212831389183456,0.4404,0.5106,22,8,20,18,184,4,3,288.549988,300.24932861328125,1
2022-05-07,0.3833785877644368,0.6369,0.3182,17,2,39,14,167,3,3,300.24932861328125,300.0666809082031,0
2022-05-08,0.7400202801507673,0.5574,0.3612,18,6,121,380,3562,28,3,300.0666809082031,262.3699951171875,0
2022-05-09,0.4811672220653298,0.4019,0.2023,35,8,15,18,209,3,3,262.369995,266.67999267578125,1
2022-05-10,0.3872714923469387,0.5106,0.4939,40,8,9,7,59,1,3,266.679993,244.6666717529297,0
2022-05-11,0.3463421785561724,0.4404,0.4201,48,19,25,33,305,4,3,244.666672,242.6666717529297,0
2022-05-12,0.3135135056467575,0.3818,0.4404,58,15,11,16,105,3,3,242.666672,256.5299987792969,1
2022-05-13,0.463493531598513,0.4767,0.3182,120,33,7,17,113,3,3,256.529999,254.58267211914062,0
2022-05-14,0.2612428571428571,0.5719,0.6369,30,7,8,9,62,1,3,254.58267211914062,252.63583374023438,0
2022-05-15,0.5964277985074626,0.4404,0.0772,13,3,8,10,95,2,3,252.63583374023438,241.4566650390625,0
2022-05-16,0.0540516030174446,0.5719,0.4588,21,11,7,9,104,1,3,241.456665,253.8699951171875,1
2022-05-17,0.1898281175059951,0.5423,0.4215,33,15,11,14,99,3,3,253.869995,236.60333251953125,0
2022-05-18,0.1725630299704652,0.469,0.5719,75,104,26,58,281,14,3,236.603333,236.47332763671875,0
2022-05-19,-0.2496354490854491,0.4939,0.5106,99,75,13,20,113,3,3,236.473328,221.3000030517578,0
2022-05-20,0.4066768178927284,0.4404,0.4767,101,50,14,29,217,6,3,221.300003,237.94065856933594,1
2022-05-21,-0.0589892226470052,0.6197,0.2023,43,20,11,21,151,3,3,237.94065856933594,237.06166076660156,0
2022-05-22,0.4483958389390735,0.5563,0.4588,35,13,14,31,213,5,3,237.06166076660156,224.96665954589844,0
2022-05-23,0.1447370550768078,0.5106,0.4404,32,13,7,10,103,1,3,224.96666,209.3866729736328,0
2022-05-24,0.2932708699516144,0.4767,0.4019,49,23,15,37,247,4,3,209.386673,219.60000610351562,1
2022-05-25,0.0965577332242225,0.3182,0.296,22,15,6,8,63,1,3,219.600006,235.91000366210938,1
2022-05-26,0.5317716512702079,0.3612,0.5719,19,5,7,6,70,1,3,235.910004,253.2100067138672,1
2022-05-27,0.5369051618026602,0.4215,0.5267,20,2,15,16,174,2,3,253.210007,228.6146697998047,0
2022-05-28,0.1827719876733436,0.5574,0.3612,17,3,16,11,148,2,3,228.6146697998047,229.52667236328125,1
2022-05-29,0.0908115341959334,0.7506,0.3182,13,5,6,12,136,2,3,229.52667236328125,236.24000549316406,1
2022-05-30,0.2797214116251483,0.5574,0.3612,10,3,8,12,100,2,3,236.24000549316406,252.75332641601562,1
2022-05-31,0.1724965741692359,0.4588,0.5719,21,6,6,10,95,1,3,252.753326,246.7899932861328,0
2022-06-01,0.40621615452151,0.3612,0.5719,16,6,4,5,48,1,3,246.789993,258.3333435058594,1
2022-06-02,0.3298937449879711,0.3612,0.4939,15,7,6,6,50,1,3,258.333344,234.51666259765625,0
2022-06-03,0.4445279337367323,0.5106,0.3626,63,23,13,12,108,4,3,234.516663,248.09832763671875,1
2022-06-04,0.5904974929760104,0.6486,0.25,18,12,9,22,145,2,3,248.09832763671875,248.09832763671875,0
2022-06-05,-0.2095539254823686,0.5423,0.5256,10,5,13,16,188,2,3,248.09832763671875,238.27999877929688,0
2022-06-06,0.4514189771630748,0.4459,0.5267,24,6,12,21,195,2,3,238.279999,238.8866729736328,1
2022-06-07,-0.1292364197530864,0.5106,0.7579,16,2,4,7,36,1,3,238.886673,241.86666870117188,1
2022-06-08,0.0947530324909747,0.296,0.4019,26,8,8,11,77,2,3,241.866669,239.7066650390625,0
2022-06-09,0.3207219491762078,0.357,0.5267,22,1,6,17,128,2,3,239.706665,232.22999572753906,0
2022-06-10,0.599978120905858,0.5106,0.2732,35,4,8,16,122,3,3,232.229996,238.19400024414062,1
2022-06-11,0.5365730696798493,0.6486,0.0,19,0,22,11,133,2,3,238.19400024414062,238.17250061035156,0
2022-06-12,0.3438014059753955,0.5423,0.4215,8,2,5,6,41,1,3,238.17250061035156,215.73666381835938,0
2022-06-13,0.3071764943457188,0.3818,0.2732,18,9,4,8,43,1,3,215.736664,220.88999938964844,1
2022-06-14,0.3242971310263235,0.4215,0.0258,20,3,6,16,131,2,3,220.889999,233.0,1
2022-06-15,0.7557023997257457,0.5574,0.3818,23,2,11,16,117,3,3,233.0,213.10000610351562,0
2022-06-16,0.3492949941792782,0.6369,0.5267,20,8,7,7,50,2,3,213.100006,216.75999450683594,1
2022-06-17,0.2414040079079798,0.4404,0.3818,20,22,9,14,121,2,3,216.759995,219.8973388671875,1
2022-06-18,0.1457016525023606,0.6597,0.25,10,10,18,22,97,6,3,219.8973388671875,220.9375,1
2022-06-19,0.8682170659963633,0.5994,0.6249,9,3,40,273,1439,13,3,220.9375,220.95333862304688,1
2022-06-20,0.2721506097560976,0.6369,0.4404,10,5,4,6,46,1,3,220.95333862304688,237.0366668701172,1
2022-06-21,0.3835609940357853,0.6124,0.25,21,6,13,11,90,2,3,237.036667,236.086669921875,0
2022-06-22,0.324571875,0.4767,0.6597,14,6,6,10,75,1,3,236.08667,235.07000732421875,0
2022-06-23,0.2139449640287769,0.5719,0.5574,11,3,3,3,19,1,3,235.070007,245.7066650390625,1
2022-06-24,0.5490603448275863,0.6486,0.4588,14,1,4,5,43,1,3,245.706665,238.47500610351562,0
2022-06-25,0.104033547008547,0.5719,0.5574,9,5,3,6,30,1,3,238.47500610351562,238.47500610351562,0
2022-06-26,0.6887875000000001,0.4767,0.0,5,0,5,8,103,1,3,238.47500610351562,244.9199981689453,1
2022-06-27,0.2792511244377811,0.3818,0.4939,11,3,2,8,45,1,3,244.919998,232.663330078125,0
2022-06-28,0.4292700325732899,0.5719,0.7096,15,1,3,3,30,1,3,232.66333,228.49000549316406,0
2022-06-29,0.4281285580524345,0.5267,0.2732,14,5,5,5,57,1,3,228.490005,224.47332763671875,0
2022-06-30,-0.2286131305352329,0.4767,0.5574,13,3,8,33,137,4,3,224.473328,227.26333618164062,1
2022-07-01,0.3193546493301812,0.4767,0.5106,12,6,10,7,91,2,3,227.263336,231.56199645996094,1
2022-07-02,0.2304761332099907,0.5859,0.2023,11,3,5,13,145,2,3,231.56199645996094,228.22250366210938,0
2022-07-03,0.7723738186462326,0.4019,0.2732,7,2,10,7,87,1,3,228.22250366210938,226.74221801757812,0
2022-07-04,-0.1495506912442396,0.6369,0.4588,5,3,10,10,55,1,3,226.74221801757812,233.06666564941406,1
2022-07-05,0.2482204116638078,0.5247,0.2023,25,9,9,9,90,2,3,233.066666,231.73333740234375,0
2022-07-06,0.366182443653618,0.296,0.0516,24,3,8,9,61,2,3,231.733337,244.5433349609375,1
2022-07-07,-0.1357658954926207,0.5719,0.4939,20,7,5,10,90,1,3,244.543335,250.76333618164062,1
2022-07-08,0.3503247854785478,0.5267,0.3818,46,19,10,11,90,2,3,250.763336,240.02667236328125,0
2022-07-09,0.4182254572055597,0.5251,0.2732,31,7,3,5,36,1,3,240.02667236328125,240.02667236328125,0
2022-07-10,0.345372,0.4767,0.3612,26,3,10,11,97,3,3,240.02667236328125,234.3433380126953,0
2022-07-11,0.3724471698113207,0.3612,0.7845,18,3,4,7,41,1,3,234.343338,233.07000732421875,0
2022-07-12,-0.0918008495145631,0.296,0.3612,14,7,9,10,66,3,3,233.070007,237.0399932861328,1
2022-07-13,-0.0037706074586697,0.4404,0.6753,19,5,16,17,145,7,3,237.039993,238.31333923339844,1
2022-07-14,0.0331011210762331,0.4939,0.5859,15,6,6,6,52,1,3,238.313339,240.06666564941406,1
2022-07-15,0.1766405682715074,0.4215,0.296,14,7,6,6,53,1,3,240.066666,236.56666564941406,0
2022-07-16,-0.1372741100323624,0.5859,0.4939,7,3,7,12,72,2,3,236.56666564941406,237.12249755859375,1
2022-07-17,0.4189809160305343,0.6124,0.2263,10,2,6,6,41,1,3,237.12249755859375,240.54666137695312,1
2022-07-18,0.4069358461538461,0.5574,0.3612,14,2,8,12,82,1,3,240.546661,245.52999877929688,1
2022-07-19,0.4524701038099315,0.296,0.6808,9,5,188,173,1869,14,3,245.529999,247.5,1
2022-07-20,0.2418446614583332,0.5574,0.3612,57,14,9,8,84,2,3,247.5,271.7066650390625,1
2022-07-21,0.1461485204991086,0.4404,0.5106,58,19,18,11,124,2,3,271.706665,272.24334716796875,1
2022-07-22,-0.1334327168533471,0.5423,0.6908,26,9,16,14,99,2,3,272.243347,255.50534057617188,0
2022-07-23,0.0752019434628975,0.25,0.5574,8,2,5,6,52,1,3,255.50534057617188,259.2449951171875,1
2022-07-24,0.4091260658914729,0.3818,0.4767,13,4,6,6,52,1,3,259.2449951171875,268.4333190917969,1
2022-07-25,0.4945291807357383,0.5719,0.4767,21,8,6,30,171,2,3,268.433319,258.8599853515625,0
2022-07-26,0.4421227772227772,0.5106,0.6597,16,1,6,4,51,1,3,258.859985,274.82000732421875,1
2022-07-27,0.4476069911504425,0.872,0.5267,19,4,14,20,91,1,3,274.820007,280.8999938964844,1
2022-07-28,0.3162019461077844,0.4404,0.4019,21,5,4,6,47,1,3,280.899994,297.1499938964844,1
2022-07-29,0.2908943383805135,0.5719,0.4019,13,1,6,9,80,1,3,297.149994,276.03265380859375,0
2022-07-30,0.6205991625959526,0.4303,0.3182,11,2,6,10,96,1,3,276.03265380859375,277.9324951171875,1
2022-07-31,0.2847933614330874,0.3818,0.7147,13,1,11,13,68,1,3,277.9324951171875,297.27667236328125,1
2022-08-01,0.183814668423364,0.34,0.128,22,5,9,20,72,3,3,297.276672,300.586669921875,1
2022-08-02,0.4534569677419354,0.5994,0.5106,16,4,7,7,68,1,3,300.58667,307.39666748046875,1
2022-08-03,0.053239057591623,0.3818,0.4404,24,5,8,9,87,1,3,307.396667,308.6333312988281,1
2022-08-04,0.5887787508486083,0.7096,0.3182,19,2,7,4,65,1,3,308.633331,288.1700134277344,0
2022-08-05,0.4555614713896457,0.4588,0.0,34,0,8,8,92,1,3,288.170013,300.41265869140625,1
2022-08-06,0.0994092513368983,0.3612,0.4939,11,3,9,12,117,2,3,300.41265869140625,301.1966552734375,1
2022-08-07,0.4634102466793168,0.5719,0.4939,18,3,9,23,69,40,3,301.1966552734375,290.42333984375,0
2022-08-08,0.3642175061124695,0.6908,0.296,15,1,10,13,103,4,3,290.42334,283.3333435058594,0
2022-08-09,0.2433131305044035,0.5574,0.3182,17,4,8,11,55,3,3,283.333344,294.3566589355469,1
2022-08-10,0.3721686067352138,0.4767,0.3182,225,41,18,39,233,10,3,294.356659,286.6300048828125,0
2022-08-11,0.3176000465549349,0.4767,0.1027,33,10,8,7,47,1,3,286.630005,300.0299987792969,1
2022-08-12,0.4931174885612608,0.5994,0.3612,19,4,7,8,79,1,3,300.029999,290.9546813964844,0
2022-08-13,0.1988319796954314,0.34,0.4019,7,4,7,14,90,2,3,290.9546813964844,291.0874938964844,1
2022-08-14,0.3670433784579164,0.4588,0.3612,17,3,6,6,74,1,3,291.0874938964844,309.32000732421875,1
2022-08-15,0.20636079002079,0.5106,0.2263,19,5,9,7,78,1,3,309.320007,306.5633239746094,0
2022-08-16,0.5629010854341733,0.5267,0.25,19,5,11,51,110,1,3,306.563324,303.9966735839844,0
2022-08-17,0.6411980153749608,0.4767,0.6486,30,4,13,30,319,14,3,303.996674,302.8699951171875,0
2022-08-18,0.0790161662817551,0.34,0.4588,13,3,6,5,44,2,3,302.869995,296.6666564941406,0
2022-08-19,0.4227735062006765,0.6115,0.5965,13,2,9,4,50,1,3,296.666656,303.8833312988281,1
2022-08-20,0.3616874673629243,0.5423,0.5574,10,2,7,7,64,1,3,303.8833312988281,302.524169921875,0
2022-08-21,0.4443532921810701,0.4588,0.5994,20,3,3,3,39,1,3,302.524169921875,289.913330078125,0
2022-08-22,0.0414020898641587,0.5267,0.6249,13,2,5,8,60,1,3,289.91333,296.4533386230469,1
2022-08-23,0.1371622559652928,0.5423,0.7357,18,6,13,17,83,3,3,296.453339,297.0966796875,1
2022-08-24,0.2882347719869707,0.5267,0.6249,30,4,6,9,69,2,3,297.09668,296.07000732421875,0
2022-08-25,0.4347855758045754,0.5267,0.5267,46,2,8,9,88,1,3,296.070007,288.0899963378906,0
2022-08-26,0.3221503131524009,0.5563,0.3612,21,1,5,7,40,1,3,288.089996,293.524658203125,1
2022-08-27,0.7620704339051464,0.8442,0.0516,13,1,6,7,71,1,3,293.524658203125,294.4275207519531,1
2022-08-28,0.3295284424379232,0.6369,0.0,9,0,3,8,45,1,3,294.4275207519531,284.82000732421875,0
2022-08-29,0.2659747268754552,0.7655,0.4019,13,5,4,6,60,1,3,284.820007,277.70001220703125,0
2022-08-30,0.4008582842174197,0.6124,0.5106,20,2,8,9,64,1,3,277.700012,275.6099853515625,0
2022-08-31,0.4419283276450512,0.6124,0.34,10,2,5,5,21,1,3,275.609985,277.1600036621094,1
2022-09-01,0.5254542553191489,0.5267,0.6369,15,4,12,10,130,2,3,277.160004,270.2099914550781,0
2022-09-02,0.4639336511497476,0.4767,0.0,17,0,11,8,85,1,3,270.209991,277.1000061035156,1
2022-09-03,0.3081389230769231,0.5719,0.0516,11,1,4,9,44,1,3,277.1000061035156,275.16998291015625,0
2022-09-04,0.386582299270073,0.5574,0.0,11,0,3,6,35,1,3,275.16998291015625,274.32666015625,0
2022-09-05,0.3232470754052149,0.4404,0.4949,12,4,5,11,89,2,3,274.32666015625,274.4200134277344,1
2022-09-06,0.3637977192982456,0.5267,0.8481,24,2,4,7,57,1,3,274.420013,283.70001220703125,1
2022-09-07,0.4513154145798553,0.5267,0.5719,11,4,10,23,100,2,3,283.700012,289.260009765625,1
2022-09-08,0.1112716814159292,0.6249,0.3182,9,3,4,3,36,1,3,289.26001,299.67999267578125,1
2022-09-09,0.1009604026845637,0.6369,0.7184,14,1,4,3,48,1,3,299.679993,286.7650146484375,0
2022-09-10,0.3880858024691357,0.5267,0.926,10,1,4,3,38,1,3,286.7650146484375,286.7650146484375,0
2022-09-11,-0.2327879770992366,0.6597,0.2023,5,3,10,4,66,1,3,286.7650146484375,304.4200134277344,1
2022-09-12,0.1095885090218423,0.34,0.4404,16,2,5,12,88,1,3,304.420013,292.1300048828125,0
2022-09-13,0.3617749019607842,0.4588,0.4588,14,3,9,12,134,2,3,292.130005,302.6099853515625,1
